tool_name,official_domain,official_x_handle,official_x_url,website_source_url
Hebbia,hebbia.ai,@HebbiaAI,https://x.com/HebbiaAI,https://www.hebbia.ai/
Harvey,harvey.ai,@harvey__ai,https://x.com/harvey__ai,https://www.harvey.ai/
Sierra,sierra.ai,@SierraPlatform,https://x.com/SierraPlatform,https://sierra.ai/
Intercom Fin,intercom.com/fin,@intercom,https://x.com/intercom,https://www.intercom.com/fin
Zendesk AI,zendesk.com/ai,@zendesk,https://x.com/zendesk,https://www.zendesk.com/ai/
Writer,writer.com,@Get_Writer,https://x.com/Get_Writer,https://writer.com/
Copy.ai,copy.ai,@copy_ai,https://x.com/copy_ai,https://www.copy.ai/
Wordtune,wordtune.com,@wordtune,https://x.com/wordtune,https://www.wordtune.com/
Tome,tome.app,@magicaltome,https://x.com/magicaltome,https://tome.app/
Figma AI,figma.com/ai,@figma,https://x.com/figma,https://www.figma.com/ai/
Webflow AI,webflow.com/ai,@webflow,https://x.com/webflow,https://webflow.com/ai
Luma AI,lumalabs.ai,@LumaLabsAI,https://x.com/LumaLabsAI,https://lumalabs.ai/
Kling AI,klingai.com,@Kling_ai,https://x.com/Kling_ai,https://klingai.com/
Otter.ai,otter.ai,@otter_ai,https://x.com/otter_ai,https://otter.ai/
Fireflies.ai,fireflies.ai,@firefliesai,https://x.com/firefliesai,https://fireflies.ai/
Fathom,fathom.video,@FathomVideo,https://x.com/FathomVideo,https://fathom.video/
Superhuman AI,superhuman.com,@Superhuman,https://x.com/Superhuman,https://superhuman.com/
Reclaim AI,reclaim.ai,@reclaimai,https://x.com/reclaimai,https://reclaim.ai/
Motion,usemotion.com,@UseMotion,https://x.com/UseMotion,https://www.usemotion.com/
Clay,clay.com,@ClayHQ,https://x.com/ClayHQ,https://www.clay.com/
Poe,poe.com,@poe_platform,https://x.com/poe_platform,https://poe.com/
You.com,you.com,@YouSearchEngine,https://x.com/YouSearchEngine,https://you.com/
