reference_type,source_file,tool_name,tool_slug,issue,recommended_action
proof source,data/tool-evidence-sources.json,support & help - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,A Coach's Guide to Client Management Software - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thrive Financial | Divorce Financial Analysis Software For Hidden Assets,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Platform Features | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Contact Us | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Pricing | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Prove Financial Abuse,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Forensic Accounting in Divorce Guide | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Divorce Resources & Guides | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Analyze Bank Statements for Divorce | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Best Forensic Accounting Software for Divorce in 2026 - Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Video Library | Thrive Financial,thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,NDORFlow — Both sides of every hiring decision.,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,NDORFlow — Decision Intelligence,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Cookie Notice - NDORFlow,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Privacy Policy - NDORFlow,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Refund Policy — NDORFlow,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Refund Policy — NDORFlow,ndorflow,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WebZum — AI Website Builder | Live in 5 Minutes,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,WebZum Blog | AI Website Creation Tips & Small Business Marketing,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Frequently Asked Questions - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,About WebZum | World-Class Engineering for Every Business,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Best Web Design And Internet Marketing Company ... - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free Business Tools for Contractors | WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Terms of Service - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Create a Business Website That Actually Converts ...,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,San Andres Hardware | Hardware Store in Santa Barbara ... - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Partner Program | WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Absolute Executive Legal Document Assistance - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Business Directory | Top-Rated Local Businesses - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Best Document Controller Businesses (2026) | Document ... - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,We Put an AI Chatbot on Every Website (That Actually Knows the ...,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Best Automation Tutorials Training Courses Businesses ... - WebZum,webzum,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Gamelabs Studio : AI Sprite and Animation Generator,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Game Art Examples - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Login - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,FAQ - AI Game Asset Generator - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Sign Up Free - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to setup Gamelabs Studio MCP with your coding agent,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Blog - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to use AI to generate spritesheets for Unreal engine - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to generate sprite sheets for Game Maker with AI,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Elevoi — AI Workforce for Salons & Spas,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Salon Management Software with AI | Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Receptionist for Salons & Spas - Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Elevoi — AI Workforce for Salons & Spas,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Missed Call Solution for Salons & Spas - Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,SMS Marketing for Salons & Spas - Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Salon Business Blog - Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Privacy Policy - Elevoi,elevoi,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI YouTube Thumbnail Maker: Get More Clicks with Thumbs . ai,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free AI YouTube Thumbnail Maker Online | Thumbs . ai,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Online AI Thumbnail Generator | Create Viral Covers Instantly,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free AI YouTube Thumbnail Generator | Make Viral Designs in ...,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Pricing - Thumbs . AI,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thumbnail Editor: Design AI YouTube Thumbnails Online,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks — Live Sales Coaching & Call Intelligence,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks Blog - Sales Intelligence & AI Coaching Insights,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Where Sales Teams Lose Money in Customer Calls | Teneks,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks Pricing - AI Sales Intelligence for Your Team,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Teneks FAQ - Sales Intelligence Questions Answered,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Terms of Service | Teneks,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"How to Handle Sales Objections With AI: Price, Timing, and ... - Teneks",teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vtuber Assistant on Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,在Steam 上购买Vtuber Assistant 立省15%,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Spar 15 % på Vtuber Assistant i Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vtuber Assistant on Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Save 15% on Vtuber Assistant on Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vtuber Assistant в Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Vtuber Assistant en Steam,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,FastiAds — Launch AI Ads in 2 Minutes | Meta & Google | fastiads,fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"fastiads Blog | The fastiads blog — tips, guides, and insights for ...",fastiads,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,UFate - I Ching Oracle and BaZi Life Reading,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,I Ching Oracle - Online I Ching Reading - UFate,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,I Ching Oracle - Online I Ching Reading | UFate,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,UFate - I Ching Oracle and BaZi Life Reading,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Privacy Policy - UFate,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Privacy Policy - UFate,ufate,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Blog - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Benchmarks - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Products | General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Careers - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,OpenCode Integration - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free YouTube Comment Analyzer | Find Your Next Video Idea,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Free AI YouTube Comment Analyzer | Audience Insights,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Pricing | BeyondComments,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"BeyondComments Blog | YouTube Comment Analysis, SEO, and Growth",beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Contact Us - BeyondComments .io,beyondcomments,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
